产品简称,当年收益%,成立日期,投资顾问,投资经理
新价值2期,192.57,2008/2/19,新价值,罗伟广
新价值,156.47,2007/11/15,新价值,罗伟广 陈延泰 张旭
晋龙1号,147.32,2007/8/28,东方证券,杨达治
景良能量1期,144.89,2008/3/4,景良投资,廖黎辉
开宝1期,143.68,2007/11/19,开宝资产,叶猷建
龙腾,141.98,2008/1/23,龙腾资产,吴险峰
尚雅4期,139.25,2008/2/18,尚雅投资,石波 常昊
海洋之星1号,136.71,2007/9/30,东方证券,周博胜
宏利2期,135.24,2008/6/2,龙赢富泽,童第轶
尚雅3期,134.46,2007/12/3,尚雅投资,石波 常昊
美联融通1期,122.61,2007/10/30,美联融通,汪立家
瑞象丰年,121.59,2007/12/27,瑞象投资,陈军
淡水泉成长一期,121.03,2007/9/6,淡水泉,赵军
淡水泉2008,121.02,2008/2/5,淡水泉,赵军
新价值3期,120.89,2008/2/15,新价值,罗伟广 黄云轩 李东辉
翼虎成长1期,111.59,2008/3/20,翼虎投资,余定恒
混沌1号,110.79,2008/10/21,混沌投资,王歆
龙鼎1号,107.65,2008/7/22,龙鼎投资,--
广金成长,106.81,2007/12/25,广金投资,刘壮华 梁月广
乐晟精选,103.57,2008/7/8,源乐晟,曾晓洁
尚雅2期,101.55,2007/12/29,尚雅投资,石波 常昊
国信证券1期,100.41,2008/2/5,国信证券,李晓峰
向日葵1号,98.54,2008/4/22,向日葵,陈靖吾
尚诚,98.07,2007/3/28,尚诚资产,肖华
尚雅1期,96.59,2007/11/21,尚雅投资,石波 常昊
重阳1期,96.24,2008/9/5,重阳投资,裘国根
海洋之星2号,91.67,2007/11/21,理成资产,--
重阳2期,91.53,2008/12/12,重阳投资,裘国根
睿信3期,90.82,2007/6/15,睿信投资,李振宁
睿信2期,88.08,2007/6/15,睿信投资,李振宁
世诚扬子2号,87.76,2008/4/18,世诚投资,陈家琳
合赢,86.26,2007/10/9,盈峰资本,钱晓宇 张冰
云程泰增值,85.78,2007/8/1,云程泰,魏上云
睿信4期,85.77,2007/7/3,睿信投资,李振宁
海昊1号,85.21,2008/6/17,海昊投资,曾文海
云程泰增值二期,85.1,2008/4/9,云程泰,魏上云
睿信,83.34,2007/2/8,睿信投资,李振宁
平安价值投资一期,83,2006/6/12,惠理基金,谢清海
林园2期,81,2007/9/17,林园投资,林园
龙票1期,79.02,2008/1/29,龙票资产,曾祥文
银信宝,78.15,2008/1/4,恒运盛投资,张安东
朱雀1期,77.47,2007/9/17,朱雀投资,李华轮
鑫兰瑞,75.9,2008/8/26,中睿合银,刘睿
朱雀2期,75.63,2007/9/17,朱雀投资,李华轮
林园,75.03,2007/2/28,林园投资,林园
君丰1期,74.7,2007/12/20,君丰资本,谢爱龙
林园3期,73.71,2007/9/20,林园投资,林园
鑫地1期,72.31,2008/1/15,鑫地投资,--
武当2期,71.94,2007/12/19,武当资产,--
鼎锋成长一期,71.7,2008/11/4,鼎锋资产,张高
理成风景1号,70.65,2008/9/10,理成资产,程义全
万利富达,70.16,2007/3/20,万利富达投资,胡伟涛
友翔投资一期(原嘉..,70.08,2008/2/18,友翔投资,--
东方港湾马拉松,70.02,2007/2/28,东方港湾,但斌
泓湖1期,69.65,2007/2/16,泓湖投资,梁文涛
鑫增长1号,68.24,2008/1/10,鑫增长,罗文军
先锋1号,67.78,2007/12/17,钧锋投资,陈湘义 童殿琳
同威1期,66.84,2008/8/8,同威资产,李驰
武当1期,65.87,2007/11/12,武当资产,田荣华
从容优势二期,65.63,2008/4/18,从容投资,吕俊
平安金牛一期,65.58,2007/1/16,上海金牛投资,--
平安启明星,64.53,2007/6/15,柘弓投资,--
君富持续增长一期,64.23,2008/7/3,君富投资,--
景泰复利回报二期,64.23,2008/1/8,景泰利丰,张英飚
京福1号,63.56,2008/9/26,京福资产,陈山
从容优势一期,63.51,2008/4/8,从容投资,吕俊
民森A号,63.48,2007/6/25,民森投资,蔡明
武当4期,63.28,2008/8/11,武当资产,田荣华
大成灵活配置2期,63.01,2008/2/5,大成基金,杨建华
朱雀1期,61.9,2008/12/17,朱雀投资,张延鹏
隆圣二号,60.32,2007/11/7,隆圣投资,--
隆圣一号,59.76,2007/11/7,隆圣投资,--
民森B号,59.59,2007/6/25,民森投资,蔡明
世通1期,59.14,2008/2/18,康庄资产,常士杉
明达,59.07,2005/11/28,明达资产,刘明达
武当3期,58.66,2008/6/6,武当资产,田荣华
平安德丰,58.49,2007/2/8,盛海投资,--
中国机会三期,57.42,2008/1/16,淡水泉,赵军
民森C号,57.36,2008/8/20,民森投资,蔡明
隆圣四号,57.17,2007/11/20,隆圣投资,--
泰石1期,56.99,2008/5/23,泰石投资,车克
隆圣三号,56.88,2007/11/20,隆圣投资,--
天马,56.77,2006/9/11,天马资产,康晓阳
博颐精选,55.92,2008/2/5,博颐投资,徐大成
