产品简称,return2013,成立日期,投资顾问,投资经理
创势翔1号,125.55,2012/5/20,创势翔投资,黄平
鸿逸1号,103.32,2010/12/16,鸿逸投资,张云逸
龙鼎3号,91.84,2010/8/2,龙鼎投资,冯为民
泽熙3期,90.22,2010/7/7,泽熙投资,徐翔
恒复趋势1号,77.3,2009/1/20,恒复投资,刘强
泽熙1号,73.34,2010/3/5,泽熙投资,徐翔
融新293号(金河..,66.97,2010/11/19,金河投资,金贤昌
君享重阳阿尔法对冲..,63.73,2012/12/27,重阳投资,裘国根
证研1期,61.21,2009/7/3,证研投资,宋晓辉
聚富二号(泽龙投资..,59.98,2012/9/10,泽龙投资,杨振邦
理成风景2号,58.98,2009/9/15,理成资产,杨玉山
恒盈复利增长1号,57.63,2011/7/28,恒盈投资,韩俊刚
沃胜1期,57.6,2010/12/2,沃胜资产,魏延军
博颐稳健1期,56.07,2009/9/30,博颐投资,徐大成
博颐精选2期,55.08,2008/10/21,博颐投资,徐大成
鼎萨1期,54.72,2012/6/11,鼎萨投资,彭旭
理成转子3号,54.58,2010/11/12,理成资产,杨玉山 程义全
菁英时代成长1号,54.42,2009/4/20,菁英时代,陈宏超
博颐精选,54.12,2008/2/5,博颐投资,徐大成
泽熙4期,53.53,2010/7/7,泽熙投资,徐翔
博颐精选3期,52.76,2009/7/9,博颐投资,徐大成
融惠优选1期2号,52.69,2012/7/23,民森投资,蔡明
通用汇锦1号,52.08,2010/5/6,通用投资,鲍晓冰
渝信壹号,51.67,2010/5/21,穿石投资,蔡生俭
甬江十六号(第二期..,51.08,2011/10/28,理成资产,杨玉山 程义全
冬泉谷对冲1号,50.84,2013/1/4,冬泉谷投资,李天培
龙腾9期,50.8,2011/3/15,龙腾资产,汪小安
汇信华安3号,50.5,2012/11/16,华安基金,--
景富趋势成长一期,48.75,2010/12/1,景富投资,祝巍
朴道一期,48.52,2011/3/16,朴道投资,胡卿瑞
御峰一号,48.32,2012/7/9,懋峰资产,夏和平
穿石品质生活,47.72,2011/1/4,穿石投资,蔡生俭
投资精英之汇利A,47.31,2009/10/26,汇利资产,何震
久阳一号,46.75,2012/10/10,久阳资本,胡军程
陈志平波段1号,46.51,2012/7/16,铂熠鸿立,陈志平
得利宝重阳5期,46.3,2009/12/11,重阳投资,裘国根 陈心
汇利优选,45.99,2008/7/18,汇利资产,何震
睿信,44.81,2007/2/8,睿信投资,李振宁
汇利优选2期,44.67,2009/3/20,汇利资产,何震
联合成长2号,44.58,2008/2/13,众禄投资,裴晓岩
瑞象丰年,44.4,2007/12/27,瑞象投资,陈军
世诚扬子3号,43.9,2010/12/30,世诚投资,陈家琳
龙腾5期,43.87,2010/9/28,龙腾资产,吴险峰
明曜1期,42.84,2010/4/2,明曜投资,曾昭雄
赢隆珠江(长安投资..,42.57,2011/7/21,赢隆投资,罗兴文
富锦7号(汇利),42.41,2010/8/27,汇利资产,何震
新价值15期,42.35,2010/9/2,新价值,罗伟广
景泰复利回报1期,42.05,2010/1/6,景泰利丰,张英飚
菁英时代成长3号,41.94,2010/9/10,菁英时代,陈宏超
徐星投资,41.78,2012/6/6,徐星投资,张东伟
海洋之星1号,41.39,2007/9/30,东方证券,周博胜
宏石1号(2),40.96,2009/2/26,昶钰投资,张磊
尚诚,40.69,2007/3/28,尚诚资产,肖华
龙腾3期,40.66,2010/11/12,龙腾资产,吴险峰
汇利3期,40.5,2010/6/10,汇利资产,何震
汇利优选10期,40.5,2011/1/31,汇利资产,何震
融新74号(富恩德..,40.33,2010/11/15,富恩德,--
清水源1号,40.04,2011/11/23,清水源,张小川
理成消费分红(转子..,40,2012/8/31,理成资产,程义全
溪牛一期,39.99,2010/10/13,--,--
先机策略精选,39.85,2011/4/11,太和先机,谢勇
汇利5期,39.56,2010/5/26,汇利资产,何震
云腾1期,39.3,2011/3/9,云腾投资,王庆仁 顾涛
泽熙5期,39.21,2010/7/30,泽熙投资,徐翔
民森B号,39.18,2007/6/25,民森投资,蔡明
瑞象Alpha,39.13,2009/4/30,瑞象投资,陈军
中国优质1号,38.76,2008/1/8,鹏远咨询,--
天马一期,38.73,2011/11/21,天马时代,马列
鼎陶朱辉2期,38.34,2010/11/5,鼎陶朱辉,段焰伟
尚雅5期,37.93,2009/4/23,尚雅投资,石波 常昊
尚雅11期,37.83,2010/4/23,尚雅投资,石波 常昊
汇富4号(汇利优选..,37.82,2009/7/24,汇利资产,何震 侯逸
龙腾,37.58,2008/1/23,龙腾资产,吴险峰
精熙辰龙二期,37.45,2011/4/15,精熙投资,--
世诚扬子2号,37.4,2008/4/18,世诚投资,陈家琳
明曜精选1期,37.3,2009/6/19,明曜投资,曾昭雄
太极一号,37.23,2009/3/2,天隼投资,毛仁杰
银帆3期,37.11,2011/7/27,银帆投资,--
泽熙2期,36.79,2010/6/11,泽熙投资,徐翔
鼎辉1号,36.75,2008/11/28,鼎陶朱辉,段焰伟
投资精英之重阳A,36.67,2011/11/21,重阳投资,裘国根 陈子木
景泰复利回报一期,36.65,2007/9/7,景泰利丰,张英飚
重阳2期,36.34,2008/12/12,重阳投资,裘国根
理成转子2号,36.29,2009/7/15,理成资产,程义全
重阳精选C号,36.13,2011/6/29,重阳投资,裘国根
尚雅16期,36.12,2010/12/2,尚雅投资,石波 常昊
融裕6号(精熙3期..,36.1,2011/1/26,精熙投资,王征
重阳1期,36.08,2008/9/5,重阳投资,裘国根
理成风景1号,35.98,2008/9/10,理成资产,程义全
尚雅1期,35.47,2007/11/21,尚雅投资,石波 常昊
景泰复利回报4期,35.37,2010/12/1,景泰利丰,张英飚
明河价值一期,35.35,2010/6/25,明河投资,张翎
玖逸一期,35.26,2011/4/7,玖逸投资,战军涛
精熙辰龙一期,35.17,2011/5/13,--,--
神农1期,34.97,2010/7/28,神农投资,陈宇
前海一线对冲,34.91,2013/1/4,一线对冲,胡志忠
重阳7期,34.79,2011/5/26,重阳投资,裘国根 陈心
重阳精选B号,34.74,2011/5/20,重阳投资,裘国根 陈心
民森F号,34.35,2009/8/17,民森投资,蔡明
景泰复利回报二期,34.26,2008/1/8,景泰利丰,张英飚
精熙,34.02,2009/2/27,精熙投资,夏宁
鑫柏源1号,33.94,2011/6/20,鑫柏源,--
融裕22号(精熙2..,33.89,2010/7/8,精熙投资,夏宁
尚雅13期,33.85,2010/9/30,尚雅投资,石波 常昊
鼎力价值成长1期,33.75,2011/5/18,鼎力投资,龙苏云 郝继伦 沈浩森
融新254号展博3..,33.73,2011/4/27,展博投资,宋向宇
民森A号,33.69,2007/6/25,民森投资,蔡明
公益,33.68,2011/4/13,东方红,--
丰煜如意理财一期,33.51,2010/1/11,丰煜投资,刘峰
蕴泽1号,33.39,2011/1/6,西藏信托,王晶 陶骜
浦江之星48号,33.36,2011/4/8,--,--
化工量化双核心策略,33.14,2010/6/10,外贸信托,费鹏
游消费板块(上信-..,33.01,2010/3/9,国泰基金,--
重阳6期,32.97,2010/1/6,重阳投资,裘国根 陈心
光大资产权益类B,32.94,2013/1/4,--,--
民森E号,32.86,2009/7/23,民森投资,蔡明
紫晶石(T-020..,32.78,2009/12/11,--,--
智诚7期,32.69,2011/1/19,智诚海威,卢源 卢伟强
久富1期,32.48,2011/5/10,久富投资,杜运志 姜任飞
丰煜如意理财二期,32.44,2010/8/27,丰煜投资,刘峰
精熙优胜回报1期,32.33,2011/11/17,精熙投资,夏宁
云程泰3期,32.32,2011/7/15,云程泰,魏上云
从容医疗1期,32.1,2010/6/30,从容投资,吕俊
中欧瑞博1期,32.01,2008/12/1,中欧瑞博,吴伟志
重阳3期,31.3,2009/9/2,重阳投资,裘国根 陈心
睿信2期,31.24,2007/6/15,睿信投资,李振宁
富锦10期(重阳),31.1,2011/8/4,重阳投资,裘国根
精熙成长精选,31.01,2011/8/1,精熙投资,夏宁
民森H号,30.97,2009/12/18,民森投资,蔡明
东方红先锋6号,30.9,2011/3/10,东方红,姜荷泽
精熙成长红利,30.83,2011/10/21,精熙投资,夏宁
鼎锋2期,30.8,2010/4/27,鼎锋资产,张高
云程泰增值二期,30.75,2008/4/9,云程泰,魏上云
鼎锋6期,30.69,2010/9/20,鼎锋资产,李霖君
双赢5期(民森),30.67,2009/9/29,民森投资,蔡明
先锋6号Ⅱ期,30.57,2011/6/8,东方红,姜荷泽 张锋
智诚2期,30.51,2009/6/12,智诚海威,张弩
恒盈1期,30.18,2011/7/1,恒盈投资,韩俊刚
菁英时代成长2号,30.15,2010/5/28,菁英时代,陈宏超
金百镕1期,30.15,2009/11/13,金百镕,周枫
睿信3期,30.04,2007/6/15,睿信投资,李振宁
吾股丰登1号,30.03,2012/1/13,--,--
金狮181号,29.86,2010/1/12,凯石益正资产,陈继武
民森G号,29.83,2009/8/17,民森投资,蔡明
明曜启明1期,29.8,2012/12/21,明曜投资,曾昭雄
重阳8期,29.77,2011/7/1,重阳投资,裘国根 陈心
智诚5期,29.56,2010/5/31,智诚海威,张弩
睿信4期,29.54,2007/7/3,睿信投资,李振宁
美联融通1期,29.4,2007/10/30,美联融通,汪立家
中欧瑞博一期,29.38,2008/1/25,中欧瑞博,吴伟志
上善若水1期,29.36,2012/3/1,上善若水,侯安扬
云程泰增值,29.16,2007/8/1,云程泰,魏上云
证大金牛(1期),28.87,2011/3/8,--,--
理成转子4号,28.75,2011/5/4,理成资产,杨玉山 孟诚
和聚5期,28.64,2010/5/28,北京和聚投资,李泽刚
有道1号,28.59,2011/9/8,有道投资,--
国淼一期,28.29,2009/1/23,国淼投资,马泽
智诚4期,28.22,2010/6/11,智诚海威,张弩
尚雅8期,28.2,2010/7/28,尚雅投资,石波 常昊
和聚1期,28.1,2009/7/14,北京和聚投资,李泽刚
彤源3号,27.99,2012/11/16,彤源投资,詹凌燕
和聚4期,27.95,2010/4/14,北京和聚投资,李泽刚
和聚2期,27.88,2010/3/18,北京和聚投资,李泽刚
鼎锋成长一期,27.85,2008/11/4,鼎锋资产,张高
瑞天5期,27.71,2011/1/31,瑞天投资,李鹏
西域-光华59,27.71,2010/9/2,西域投资,周水江
明河成长,27.7,2011/4/25,明河投资,张翎
尚雅12期,27.49,2010/5/28,尚雅投资,石波 常昊
智诚3期,27.43,2009/9/21,智诚海威,张弩
和聚3期,27.41,2010/4/20,北京和聚投资,李泽刚
凯信1号,27.17,2009/7/20,凯石益正资产,陈继武
鼎锋8期,27.16,2010/10/8,鼎锋资产,王小刚
明华一期,27.14,2010/4/20,明华信德,陈明贤
平安金牛一期,27.05,2007/1/16,上海金牛投资,--
和聚7期,27.02,2011/4/29,北京和聚投资,李泽刚
中欧瑞博三期,26.99,2012/4/1,中欧瑞博,吴伟志
景林稳健,26.76,2006/10/31,景林资产,蒋锦志
德汇稳健一号,26.65,2012/3/26,--,--
重阳目标回报1期,26.58,2011/9/1,重阳投资,裘国根 陈子木
昊润1期,26.53,2011/7/22,昊润资产,赵立坚
重阳10期,26.17,2011/8/19,重阳投资,裘国根 陈子木 王晓华
从容优势二期,26.08,2008/4/18,从容投资,吕俊
景林丰收,26.07,2007/3/30,景林资产,蒋锦志
尚雅3期,26.03,2007/12/3,尚雅投资,石波 常昊
达仁通宝2期,26.01,2011/4/27,达仁投资,刘翔
明曜目标回报第5期,25.88,2011/9/27,明曜投资,曾昭雄
富安达安晟1号,25.85,2010/7/12,富安达投资,--
东方红先锋3号,25.79,2010/7/8,东方红,姜荷泽 林树财
上善若水2期,25.76,2012/9/1,上善若水,侯安扬
励石一号,25.73,2007/12/28,励石投资,肖世明
赑元成长1期,25.69,2008/12/10,赑元资产,宣震
金狮154号,25.6,2012/8/10,--,--
尚雅6期,25.48,2009/6/10,尚雅投资,石波 常昊
尚雅14期,25.36,2010/8/2,尚雅投资,石波 常昊
智德精选5期,25.35,2010/8/19,智德投资,伍军
双赢8期(尚雅),25.3,2009/9/29,尚雅投资,石波 常昊
鼎锋12期,25.27,2010/12/21,鼎锋资产,李霖君
尚雅4期,25.21,2008/2/18,尚雅投资,石波 常昊
鼎锋4号,25.16,2010/8/10,鼎锋资产,王小刚
从容优势一期,25.12,2008/4/8,从容投资,吕俊
东海精选2号,25.03,2011/5/3,东海证券,曾祥顺 丁颖 王劲松
东海精选1号,24.97,2010/7/19,东海证券,梁游 丁颖 王宝舟
淡水泉成长一期,24.86,2007/9/6,淡水泉,赵军
道睿择1期,24.56,2011/11/10,道睿择投资,杨金
尚道乾坤合伙基金,24.51,2011/9/15,尚道投资,谢柳毅
谦石1号,24.46,2010/10/15,谦石投资,李追阳
中国机会三期,24.44,2008/1/16,淡水泉,赵军
淡水泉成长三期,24.41,2009/5/27,淡水泉,赵军
从容优势三期,24.4,2008/7/18,从容投资,吕俊
融新316号玖歌投..,24.39,2010/9/16,玖歌投资,--
民森K号,24.31,2010/6/4,民森投资,蔡明
中域增值1期,24.29,2009/7/22,中域投资,袁鹏涛
双赢10期(淡水泉..,24.22,2011/4/28,淡水泉,赵军
淡水泉成长五期,24.16,2009/8/5,淡水泉,赵军
武当5期,23.9,2009/3/10,武当资产,田荣华
武当6期,23.9,2009/3/27,武当资产,田荣华
永达1期,23.81,2011/9/9,永达投资,--
睿策1期,23.72,2011/1/27,睿策投资,黄明
鼎锋5期,23.69,2011/2/12,鼎锋资产,李霖君
从容5期,23.62,2011/1/25,从容投资,吕俊
重阳9期,23.62,2011/8/18,重阳投资,陈子木 裘国根
武当10期,23.57,2009/5/22,武当资产,田荣华
金牡丹道谊稳健,23.54,2012/8/2,道谊资产,卢柏良
朱雀合伙专项,23.47,2009/3/30,朱雀投资,李华轮
淡水泉2008,23.46,2008/2/5,淡水泉,赵军
申银万国宝鼎一期,23.31,2010/3/26,申银万国,张涵 牟纪祥
淡水泉成长四期,23.3,2009/6/8,淡水泉,赵军
武当4期,23.22,2008/8/11,武当资产,田荣华
朱雀2期,23.19,2007/9/17,朱雀投资,李华轮
武当11期,23.13,2009/6/18,武当资产,田荣华
东方红先锋1号,23.12,2010/1/7,东方红,林树财 李竞 顾凌云
朱雀1期,23.1,2007/9/17,朱雀投资,李华轮
朱雀3期,23.05,2009/7/29,朱雀投资,李华轮
归富长乐1号,23,2010/8/31,归富投资,张关心
恒德1期,22.97,2010/7/21,恒德投资,王瑜
从容医疗精选,22.92,2011/3/15,从容投资,吕俊
银石1期,22.83,2010/12/30,银石投资,丘海云
展博1期,22.8,2009/6/15,展博投资,陈锋
谦石2号,22.74,2011/1/30,谦石投资,李追阳
展博精选A号,22.48,2010/12/29,展博投资,陈锋
展博精选B号,22.48,2010/12/29,展博投资,陈锋
淡水泉成长六期,22.38,2009/7/29,淡水泉,赵军
武当1期,22.34,2007/11/12,武当资产,田荣华
爱康1号(鼎锋11..,22.32,2011/1/14,鼎锋资产,李霖君 张高
从容成长1期,22.27,2009/4/8,从容投资,吕俊
从容成长8期,22.24,2010/4/27,从容投资,吕俊
淡水泉精选1期,22.22,2010/7/5,淡水泉,赵军
朱雀4期,22.18,2009/4/15,朱雀投资,梁跃军
睿策2期,22.15,2012/7/30,睿策投资,黄明
武当3期,22.1,2008/6/6,武当资产,田荣华
金狮116号,22.08,2011/10/21,--,--
淡水泉成长十期A,22.04,2010/2/26,淡水泉,赵军
武当12期,22.02,2009/6/10,武当资产,田荣华
智德精选3期,21.97,2010/5/13,智德投资,伍军
金狮182号,21.92,2011/5/20,--,--
朱雀5期,21.9,2009/5/15,朱雀投资,梁跃军
淡水泉成长七期,21.84,2009/7/31,淡水泉,赵军
精英之淡水泉A,21.82,2009/9/21,淡水泉,赵军
投资精英之云程泰A,21.8,2012/2/28,云程泰,魏上云
朱雀18期,21.69,2010/9/30,朱雀投资,李华轮
建源智信2号,21.59,2012/4/20,建元阳光,--
从容优势7期,21.59,2010/12/30,从容投资,吕俊
智德二期,21.48,2009/1/22,智德投资,伍军
朱雀1期,21.45,2008/12/17,朱雀投资,张延鹏
铭远2期,21.33,2010/1/31,铭远投资,韩跃峰
中广添合赢,21.08,2012/10/15,盈峰资本,宋曦
源乐晟策略创新1期,21.03,2011/9/30,源乐晟,曾晓洁
泽里和1号,21,2011/8/15,泽里和,周建新
悟空同创量化1期,20.92,2012/6/7,悟空投资,鲍际刚
凯石三期A,20.91,2010/1/11,凯石益正资产,程俊豪
金狮151号,20.85,2012/8/22,--,--
鼎诺风险缓冲6期,20.83,2012/9/27,鼎诺投资,黄弢
朴石1期,20.7,2012/9/18,朴石投资,--
中行TOT成长组合..,20.69,2011/5/11,鼎锋资产,张高
新同方,20.61,2007/7/12,新同方,王连恒 刘迅
睿信5期,20.37,2010/9/28,睿信投资,李振宁
鼎力超级成长,20.31,2010/11/11,鼎力投资,郝继伦 沈浩森 龙苏云
武当7号,20.3,2009/4/22,武当资产,田荣华
世诚投资六号,20.27,2012/12/14,世诚投资,陈家琳
金中和6期,20.19,2009/8/20,金中和投资,王阳 曾军
和聚9期,20.12,2011/7/1,北京和聚投资,李泽刚
从容成长2期,20.07,2009/6/18,从容投资,吕俊
东方远见1期,20.06,2010/5/5,东方远见,许勇
新价值16号,20.05,2010/6/25,新价值,罗伟广
银石2期,20.05,2012/12/20,银石投资,丘海云
和聚8期,20.04,2011/9/23,北京和聚投资,李泽刚
广金成长,19.96,2007/12/25,广金投资,刘壮华 梁月广
弘酬精选1期,19.85,2011/5/13,智德投资,伍军
从容稳健1期,19.83,2009/5/8,从容投资,吕俊
银信宝,19.82,2008/1/4,恒运盛投资,张安东
东方远见6期,19.82,2010/9/13,东方远见,许勇
建信稳健增值2期,19.82,2010/11/10,从容投资,吕俊
淡水泉成长九期,19.77,2009/11/3,淡水泉,赵军
泰瓴-泰九1期,19.75,2010/10/19,泰瓴资产,张林涛 文江
从容成长3期,19.66,2009/6/12,从容投资,吕俊
六禾财富竹溪,19.6,2010/7/5,六禾投资,王志强 徐志云 夏晓辉
投资精英之朱雀A,19.57,2009/10/10,朱雀投资,李华轮
泽泉涨停板1号,19.54,2012/5/7,泽泉投资,辛宇
鑫富越1号,19.53,2012/8/2,鑫富越资产,王国卫
鸿道4期,19.49,2011/6/21,鸿道投资,孙建冬
诚信海外配置4号,19.41,2012/2/24,--,--
智德持续增长,19.33,2008/6/20,智德投资,伍军
浙商金惠3号,19.27,2010/12/1,浙商证券资产,陈旻 周良
武当8号,19.21,2009/4/30,武当资产,田荣华
泰瓴3期,19.2,2010/11/15,泰瓴资产,文江 张林涛
国轩,19.19,2008/4/28,南方汇金,徐伟
大成灵活配置2期,19.16,2008/2/5,大成基金,杨建华
