zhishu,year,start,end,zhangfu
shangzheng,2009,1849.02,3277.14,77
shangzheng,2010,3289.75,2808.08,-15
shangzheng,2011,2825.33,2199.42,-22
shangzheng,2012,2212,2269.13,3
shangzheng,2013,2289.51,2115.98,-8
shangzheng,2014,2112.13,3234.68,53
shangzheng,2015,3234,3539,9.43
shangzheng,2016,3539,3103,-12.3
shangzheng,2017,3103,3307,6.6
shenzheng,2009,6557.42,13699.97,109
shenzheng,2010,13766.1,12458.55,-10
shenzheng,2011,12578.45,8918.819,-29
shenzheng,2012,8980.76,9116.479,2
shenzheng,2013,9204.109,8121.791,-12
shenzheng,2014,8083.771,11014.62,36
shenzheng,2015,11014,12665,14.99
shenzheng,2016,12665,10177,-19.64469009
shenzheng,2017,10177,11040,8.48
chuangye,2009,,,NA
chuangye,2010,986.02,1137.66,15
chuangye,2011,1142.17,729.5,-36
chuangye,2012,734.74,713.86,-3
chuangye,2013,717.3,1304.44,82
chuangye,2014,1302.3,1471.76,13
chuangye,2015,1471,2714,84.5
chuangye,2016,2714,1962,-27.7
chuangye,2017,1962,1753,-10.7
ganggutong,2009,,,NA
ganggutong,2010,,,NA
ganggutong,2011,,,NA
ganggutong,2012,,,NA
ganggutong,2013,,,NA
ganggutong,2014,,,NA
ganggutong,2015,4382,4298,-1.92
ganggutong,2016,4298,4254,-1
ganggutong,2017,4254,5990,40.8
